epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.79672,2.9638,6.58779,2.26436,0.00333,0.00893,0.00168,0.00084,2.97032,6.51629,2.54278,0,0,0
2,4.23928,3.30735,6.43397,2.19773,0,0,0,0,2.92891,6.54408,2.5249,1.9604e-05,1.9604e-05,1.9604e-05
3,5.22167,2.75039,6.51476,2.24221,0,0,0,0,2.88071,6.55601,2.50695,3.8416e-05,3.8416e-05,3.8416e-05
4,6.27481,3.18177,6.60474,2.30205,0,0,0,0,2.83979,6.56265,2.48483,5.6436e-05,5.6436e-05,5.6436e-05
5,7.21111,2.44111,6.68849,2.22222,0.00167,0.00446,0.00084,0.00025,2.81039,6.58042,2.47513,7.3664e-05,7.3664e-05,7.3664e-05
6,9.0188,3.10071,6.47844,2.27384,0.59281,0.72321,0.7111,0.65206,1.06166,2.2849,1.63219,9.01e-05,9.01e-05,9.01e-05
7,11.3816,2.11032,5.20454,1.81794,0.9109,0.9128,0.9715,0.86927,1.08692,1.58635,1.59991,0.000105744,0.000105744,0.000105744
8,13.8293,1.78297,3.40288,1.74635,0.86541,0.95982,0.96097,0.7182,2.272,2.91622,1.7406,0.000120596,0.000120596,0.000120596
9,16.6908,2.16116,2.02869,1.82293,0.86541,0.95982,0.96097,0.7182,2.272,2.91622,1.7406,0.000134656,0.000134656,0.000134656
10,21.5993,2.29416,2.16164,1.88722,0.86447,0.9375,0.94326,0.83637,1.22939,2.48458,1.61435,0.000147924,0.000147924,0.000147924
11,25.3649,1.67902,1.42101,1.72605,0.86447,0.9375,0.94326,0.83637,1.22939,2.48458,1.61435,0.0001604,0.0001604,0.0001604
12,28.0441,1.56269,1.40028,1.74682,0.87443,0.96429,0.97044,0.88805,0.83019,2.7874,1.56756,0.000172084,0.000172084,0.000172084
13,30.5085,1.61811,2.00755,1.68273,0.87443,0.96429,0.97044,0.88805,0.83019,2.7874,1.56756,0.000182976,0.000182976,0.000182976
