                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  6.964,                 7.4521,                 4.4478,                      0,                      0,                      0,                      0,                 2.8872,                 7.1525,                 2.5247,                      0,                      0,                      0
                      2,                 6.0962,                 7.6297,                 3.4655,                      0,                      0,                      0,                      0,                 2.8537,                 7.1219,                 2.5028,             1.9934e-05,             1.9934e-05,             1.9934e-05
                      3,                 4.2379,                 7.3925,                 2.8263,                      0,                      0,                      0,                      0,                 2.8093,                 7.1195,                 2.4867,             3.9736e-05,             3.9736e-05,             3.9736e-05
                      4,                 5.8689,                  7.892,                 3.6657,                      0,                      0,                      0,                      0,                 2.7778,                 7.1094,                 2.4645,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      5,                 6.2414,                 7.6655,                  4.324,                      0,                      0,                      0,                      0,                 2.7501,                 7.0815,                 2.4551,             7.8944e-05,             7.8944e-05,             7.8944e-05
                      6,                 6.2944,                  7.543,                 3.8655,                0.17833,                0.47768,                0.18101,                 0.0948,                 2.0368,                   4.19,                 1.9547,              9.835e-05,              9.835e-05,              9.835e-05
                      7,                 4.4889,                 6.0303,                 2.7336,                0.73943,                0.55741,                0.69897,                0.43511,                 2.7865,                 2.9604,                 1.9186,             0.00011762,             0.00011762,             0.00011762
                      8,                 3.6564,                 4.9013,                 2.1494,                0.77224,                0.69643,                0.82707,                 0.4963,                 3.1446,                 4.0744,                 2.0038,             0.00013677,             0.00013677,             0.00013677
                      9,                   3.06,                 3.0258,                 2.2467,                0.77169,                0.91518,                0.93171,                 0.4818,                 3.5577,                 8.7112,                  2.112,             0.00015578,             0.00015578,             0.00015578
                     10,                 2.5378,                 2.1746,                 2.1791,                0.75671,                0.97768,                0.95989,                0.26027,                 5.1322,                 17.342,                  2.943,             0.00017465,             0.00017465,             0.00017465
                     11,                 3.8314,                 2.3207,                 2.2835,                0.78041,                0.95536,                0.91505,                0.19514,                  5.692,                 20.003,                 3.4784,              0.0001934,              0.0001934,              0.0001934
                     12,                 2.5396,                 1.7479,                 2.0978,                0.68166,                0.97768,                0.96383,                0.25413,                 5.4312,                 21.281,                 3.3259,             0.00021201,             0.00021201,             0.00021201
                     13,                 2.9689,                 1.8623,                 2.1122,                0.25167,                0.67411,                0.21137,                0.08529,                 4.5318,                 26.418,                  2.702,              0.0002305,              0.0002305,              0.0002305
                     14,                  3.131,                 1.9425,                 1.9512,                0.44901,                0.79911,                0.43473,                0.20561,                 3.9249,                 11.516,                 2.3864,             0.00024885,             0.00024885,             0.00024885
                     15,                 3.1202,                 1.5534,                 2.1388,                0.80133,                0.84633,                 0.8939,                0.34928,                 4.5065,                 11.098,                 2.7586,             0.00026706,             0.00026706,             0.00026706
                     16,                 3.1143,                 1.5477,                  2.292,                0.79503,                0.86581,                0.88028,                0.17012,                 6.0299,                 17.271,                 4.1719,             0.00028515,             0.00028515,             0.00028515
                     17,                 3.2107,                 1.5813,                 2.2764,                 0.8321,                0.91071,                0.93032,                0.18692,                  6.006,                 17.158,                 4.3051,              0.0003031,              0.0003031,              0.0003031
                     18,                 3.7158,                 1.8481,                 2.3003,                 0.8321,                0.91071,                0.93032,                0.18692,                  6.006,                 17.158,                 4.3051,             0.00032093,             0.00032093,             0.00032093
                     19,                 3.2378,                 1.6773,                  2.109,                0.84794,                0.94596,                0.96625,                0.30811,                 5.1299,                 11.588,                 3.5107,             0.00033862,             0.00033862,             0.00033862
                     20,                 2.8923,                 1.4915,                 2.0087,                0.84794,                0.94596,                0.96625,                0.30811,                 5.1299,                 11.588,                 3.5107,             0.00035617,             0.00035617,             0.00035617
                     21,                 3.8068,                 1.9497,                 2.0774,                0.84041,                0.88839,                0.89274,                0.53018,                 3.0878,                 4.0197,                 2.1744,              0.0003736,              0.0003736,              0.0003736
                     22,                 3.0488,                 1.7413,                 1.9934,                0.84041,                0.88839,                0.89274,                0.53018,                 3.0878,                 4.0197,                 2.1744,             0.00039089,             0.00039089,             0.00039089
                     23,                  3.215,                 1.5876,                 2.1804,                0.74935,                0.85419,                0.77935,                0.54162,                 2.4131,                 3.7165,                 1.9117,             0.00040806,             0.00040806,             0.00040806
                     24,                 3.2731,                 1.8189,                  2.312,                0.74935,                0.85419,                0.77935,                0.54162,                 2.4131,                 3.7165,                 1.9117,             0.00042509,             0.00042509,             0.00042509
                     25,                 2.5908,                  1.458,                 1.8906,                 0.6058,                0.80268,                0.64035,                0.42892,                 2.7354,                 7.1685,                 2.0249,             0.00044198,             0.00044198,             0.00044198
                     26,                 2.7826,                 1.4054,                 2.0213,                 0.6058,                0.80268,                0.64035,                0.42892,                 2.7354,                 7.1685,                 2.0249,             0.00045875,             0.00045875,             0.00045875
                     27,                 2.7638,                 1.4863,                 2.0065,                 0.5157,                0.64175,                0.60158,                 0.3085,                 3.9315,                 14.696,                 2.5325,             0.00047538,             0.00047538,             0.00047538
                     28,                 2.4924,                 1.4269,                  1.814,                 0.5157,                0.64175,                0.60158,                 0.3085,                 3.9315,                 14.696,                 2.5325,             0.00049189,             0.00049189,             0.00049189
                     29,                 2.6456,                 1.2836,                 1.9886,                0.33263,                0.64732,                0.30492,                0.15819,                 4.2289,                    inf,                 2.7923,             0.00050826,             0.00050826,             0.00050826
                     30,                 2.4251,                 1.2257,                 1.8416,                0.33263,                0.64732,                0.30492,                0.15819,                 4.2289,                    inf,                 2.7923,             0.00052449,             0.00052449,             0.00052449
                     31,                 1.7837,                 1.0817,                 1.8748,                0.33263,                0.64732,                0.30492,                0.15819,                 11.711,                    inf,                 15.226,              0.0005406,              0.0005406,              0.0005406
                     32,                 2.4832,                 1.2476,                 1.9523,                0.33263,                0.64732,                0.30492,                0.15819,                 11.711,                    inf,                 15.226,             0.00055657,             0.00055657,             0.00055657
                     33,                 2.9672,                 1.3411,                 1.9338,                0.33263,                0.64732,                0.30492,                0.15819,                 11.973,                    inf,                 19.783,             0.00057242,             0.00057242,             0.00057242
                     34,                 3.4355,                 1.6535,                 2.3154,                0.33263,                0.64732,                0.30492,                0.15819,                 11.973,                    inf,                 19.783,             0.00058813,             0.00058813,             0.00058813
                     35,                 2.9162,                 1.3557,                 2.0949,                0.33263,                0.64732,                0.30492,                0.15819,                 4.1328,                    inf,                  3.605,              0.0006037,              0.0006037,              0.0006037
                     36,                 2.3397,                 1.1309,                 1.8804,                0.33263,                0.64732,                0.30492,                0.15819,                 4.1328,                    inf,                  3.605,             0.00061915,             0.00061915,             0.00061915
                     37,                 2.9465,                 1.2125,                 2.2667,                  0.125,                0.33482,                0.08385,                0.04611,                 3.7585,                 30.517,                 2.3929,             0.00063446,             0.00063446,             0.00063446
                     38,                 2.4815,                 1.1772,                 2.0395,                  0.125,                0.33482,                0.08385,                0.04611,                 3.7585,                 30.517,                 2.3929,             0.00064965,             0.00064965,             0.00064965
                     39,                 1.8559,                 1.0646,                 1.8243,                  0.125,                0.33482,                0.08385,                0.04611,                 11.695,                    inf,                 28.537,              0.0006647,              0.0006647,              0.0006647
                     40,                 3.4105,                 1.4544,                 2.1153,                  0.125,                0.33482,                0.08385,                0.04611,                 11.695,                    inf,                 28.537,             0.00067961,             0.00067961,             0.00067961
                     41,                  3.992,                 1.5694,                 2.7538,                  0.125,                0.33482,                0.08385,                0.04611,                 12.124,                    inf,                 121.28,              0.0006944,              0.0006944,              0.0006944
                     42,                 2.1859,                 1.2158,                 1.9342,                  0.125,                0.33482,                0.08385,                0.04611,                 12.124,                    inf,                 121.28,             0.00070905,             0.00070905,             0.00070905
                     43,                 3.1559,                 1.3689,                 1.9666,                  0.125,                0.33482,                0.08385,                0.04611,                    nan,                    nan,                    nan,             0.00072358,             0.00072358,             0.00072358
